"document","year"
"3319502.3374790","2020"
"3319502.3374791","2020"
"3319502.3374792","2020"
"3319502.3374793","2020"
"3319502.3374794","2020"
"3319502.3374795","2020"
"3319502.3374796","2020"
"3319502.3374797","2020"
"3319502.3374798","2020"
"3319502.3374799","2020"
"3319502.3374800","2020"
"3319502.3374801","2020"
"3319502.3374802","2020"
"3319502.3374803","2020"
"3319502.3374804","2020"
"3319502.3374806","2020"
"3319502.3374807","2020"
"3319502.3374808","2020"
"3319502.3374809","2020"
"3319502.3374810","2020"
"3319502.3374811","2020"
"3319502.3374812","2020"
"3319502.3374813","2020"
"3319502.3374814","2020"
"3319502.3374815","2020"
"3319502.3374816","2020"
"3319502.3374817","2020"
"3319502.3374818","2020"
"3319502.3374819","2020"
"3319502.3374820","2020"
"3319502.3374821","2020"
"3319502.3374822","2020"
"3319502.3374823","2020"
"3319502.3374824","2020"
"3319502.3374825","2020"
"3319502.3374826","2020"
"3319502.3374827","2020"
"3319502.3374828","2020"
"3319502.3374829","2020"
"3319502.3374830","2020"
"3319502.3374831","2020"
"3319502.3374832","2020"
"3319502.3374833","2020"
"3319502.3374834","2020"
"3319502.3374835","2020"
"3319502.3374836","2020"
"3319502.3374837","2020"
"3319502.3374838","2020"
"3319502.3374839","2020"
"3319502.3374840","2020"
"3319502.3374841","2020"
"3434073.3444643","2021"
"3434073.3444644","2021"
"3434073.3444645","2021"
"3434073.3444646","2021"
"3434073.3444647","2021"
"3434073.3444648","2021"
"3434073.3444649","2021"
"3434073.3444650","2021"
"3434073.3444651","2021"
"3434073.3444652","2021"
"3434073.3444653","2021"
"3434073.3444654","2021"
"3434073.3444655","2021"
"3434073.3444656","2021"
"3434073.3444657","2021"
"3434073.3444658","2021"
"3434073.3444659","2021"
"3434073.3444660","2021"
"3434073.3444661","2021"
"3434073.3444662","2021"
"3434073.3444663","2021"
"3434073.3444664","2021"
"3434073.3444665","2021"
"3434073.3444666","2021"
"3434073.3444667","2021"
"3434073.3444668","2021"
"3434073.3444669","2021"
"3434073.3444670","2021"
"3434073.3444671","2021"
"3434073.3444672","2021"
"3434073.3444673","2021"
"3434073.3444674","2021"
"3434073.3444675","2021"
"3434073.3444676","2021"
"3434073.3444677","2021"
"3434073.3444679","2021"
"3434073.3444680","2021"
"3434073.3444681","2021"
"3434073.3444682","2021"
"3434073.3444683","2021"
"3434073.3444686","2021"
"3434073.3444687","2021"
